SUPPLIER,Mechanical/Electrical,SUPPLIER PART#,8-DIGIT,DESCRIPTION,FROM PROJECT:,DATE,Cycle Count Date,QTY, NET PRICE , TOTAL ,LOCATION
AB,Electrical,800T-XA1,,Contact Shallow Block,,3/16/2021,,13,$21 ,$273 ,R1-2-3
Weidmuller,Electrical,383560000,,Terminal Block,,3/16/2021,,43,, $-   ,R1-2-4
Weidmuller,Electrical,189630000,,End Barriers,,3/16/2021,,43,, $-   ,R1-2-4
Weidmuller,Electrical,1896480000,,End Barriers,,3/16/2021,,48,, $-   ,R1-2-4
AB,Electrical,1783-US5T SER B,,,,12/6/2023,,1,$138.66 ,$139 ,R3-5-2
AB,Electrical,1489-M1C030 SER. D,,Circuit Breaker,,3/16/2021,,1,42,$42 ,R1-2-5
AB,Electrical,1492-EBPD3,,End Barriers,,3/17/2021,,13,0.89,$12 ,R1-3-1
Phoenix Contact,Electrical,78037399962,,Terminal Block,,3/17/2021,,5,, $-   ,R1-3-1
AB,Electrical,1489-AMCL306,,MCB Bus Bar Accessory 3 Phase,,3/17/2021,,10,94,$940 ,R1-3-1
AB,Electrical,1401-N45,,Fuse Clip,,3/17/2021,,1,$220 ,$220 ,R1-3-2
AB,Electrical,1494U-LC200,,Lug Connectors,,3/17/2021,,2,$85 ,$170 ,R1-3-2
Champion,Mechanical,CHA0508376,,Nozzle 1/8m-8006 BR NCKL,,3/17/2021,,40,, $-   ,R1-3-2
Champion,Mechanical,CHA113555,,Plug E Washarm Cleanout,,3/17/2021,,12,$30 ,$360 ,R1-3-2
Phoenix Contact,Electrical,3030213,,FBS 10-5 Plug in bridge (red) Jumpers,,3/18/2021,,10,, $-   ,R1-3-3
Phoenix Contact,Electrical,3036916,,FBS 10-5 BU Plug in bridge (blue),,3/18/2021,,10,, $-   ,R1-3-3
WOLSELEY,Mechanical,?,,1/2-13x1-1/2 Hex Hd Cap Screw,,3/17/2021,,20,, $-   ,R1-3-3
Hotron,Electrical,E246588,,AWM style 20276 VW-1 30V Cable,,3/18/2021,,6,, $-   ,R1-3-3
Phoenix Contact,Electrical,3030174,,FBS 3-5 Plug in bridge,,3/18/2021,,10,, $-   ,R1-3-4
Phoenix Contact,Electrical,3030161,,FBS 2-5 Plug in bridge (red),,3/18/2021,,10,, $-   ,R1-3-4
Phoenix Contact,Electrical,3036877,,FBS 2-5 BU Plug in bridge (blue),,3/18/2021,,10,, $-   ,R1-3-4
AB,Electrical,1492-CJP2-10-RE,,Red jumper,,3/18/2021,,14,$5 ,$69 ,R1-3-4
AB,Electrical,1492-CJP2-10-RE,,Center jumpers,,3/23/2021,,3,$3 ,$9 ,R1-3-4
AB,Electrical,1492-CJP2-10-B,,Jumpers,,4/7/2021,,3,$3 ,$9 ,R1-3-4
HIS,Electrical,,,ADAP-DPM-DVIIF,,3/31/2021,,2,, $-   ,R1-3-4
BUSSMANN,Electrical,BUSS-LP-CC-7-1/2L,,,,9/6/2022,,3, Bad Part? , $-   ,R1-3-5
,Mechanical,GSP46LF,,"3/4""X4"" NPL T.O.E. 3/4SS S40 316L A312",,4/6/2021,,2, Bad Part? , $-   ,R1-3-5
AB,Electrical,1492-M3X5,,Markers,,3/23/2021,,3,$6 ,$18 ,R1-4-1
ALFA LAVAL,,213598,,"adapter,  21MP-1X1-316L-7",,10/17/2023,,1,$28 ,$28 ,R3-5-1
SMC,Electrical,KQG2E07-00,,CONNECTOR /Bulkhead union,,4/19/2021,,4,, $-   ,R1-4-2
SMC,Electrical,KQ2P-09,,PLUGS,,4/28/2021,,30,, $-   ,R1-4-2
SMC,Electrical,VVQ1000W-27-14,,Rod,,5/3/2021,,2,, $-   ,R1-4-2
SMC,Electrical,Y40-A-T4,,SPACER ASSEMBLY,,5/4/2021,,2,, $-   ,R1-4-2
SMC,Electrical,528853249,,GAUGE PRESSURE,,5/4/2021,,1,, $-   ,R1-4-2
SMC,Electrical,98133728,,TUBE FTG &MUFFLER,,5/4/2021,,1,, $-   ,R1-4-2
